provinsi,prevalensi_stunting,tahun,garis_kemiskinan,jumlah_miskin_ribu,persen_miskin,persen_sanitasi
ACEH,33.2,2021,541109,834.24,15.33,77.55
SUMATERA UTARA,25.8,2021,525756,1343.86,9.01,82.02
SUMATERA BARAT,23.3,2021,568703,370.67,6.63,68.68
RIAU,22.3,2021,565937,500.81,7.12,83.64
JAMBI,22.4,2021,506355,293.86,8.09,80.36
SUMATERA SELATAN,24.8,2021,457455,1113.76,12.84,77.29
BENGKULU,22.1,2021,548934,306.0,15.22,79.81
LAMPUNG,18.5,2021,471439,1083.93,12.62,83.89
KEPULAUAN BANGKA BELITUNG,18.6,2021,752203,72.71,4.9,92.24
KEPULAUAN RIAU,17.6,2021,642425,144.46,6.12,91.62
DKI JAKARTA,16.8,2021,697638,501.92,4.72,95.17
JAWA BARAT,24.5,2021,427402,4195.34,8.4,71.66
JAWA TENGAH,20.9,2021,409193,4109.75,11.79,83.28
DI YOGYAKARTA,17.3,2021,482855,506.45,12.8,97.12
JAWA TIMUR,23.5,2021,429133,4572.73,11.4,80.97
BANTEN,24.5,2021,530363,867.23,6.66,82.89
BALI,10.9,2021,452221,201.97,4.53,95.95
NUSA TENGGARA BARAT,31.4,2021,423505,746.66,14.14,82.85
NUSA TENGGARA TIMUR,37.8,2021,415116,1169.31,20.99,73.36
KALIMANTAN BARAT,29.8,2021,483454,367.89,7.15,78.39
KALIMANTAN TENGAH,27.4,2021,506982,140.04,5.16,73.77
KALIMANTAN SELATAN,30.0,2021,519150,208.11,4.83,81.43
KALIMANTAN TIMUR,22.8,2021,689035,241.77,6.54,89.77
KALIMANTAN UTARA,27.5,2021,710994,52.86,7.36,79.8
SULAWESI UTARA,21.6,2021,410805,196.35,7.77,84.85
SULAWESI TENGAH,29.7,2021,496872,404.44,13.0,76.06
SULAWESI SELATAN,27.4,2021,372491,784.98,8.78,91.57
SULAWESI TENGGARA,30.2,2021,378589,318.7,11.66,85.62
GORONTALO,29.0,2021,389827,186.29,15.61,78.58
SULAWESI BARAT,33.8,2021,364251,157.19,11.29,80.12
MALUKU,28.7,2021,587730,321.81,17.87,76.77
MALUKU UTARA,27.5,2021,489375,87.16,6.89,77.11
PAPUA BARAT,26.2,2021,631418,219.07,21.84,77.89
PAPUA,29.5,2021,591959,920.44,26.86,40.81
ACEH,31.2,2022,579227,806.82,14.64,77.48
SUMATERA UTARA,21.1,2022,561004,1268.19,8.42,82.3
SUMATERA BARAT,25.2,2022,610941,335.21,5.92,69.27
RIAU,17.0,2022,605912,485.03,6.78,84.06
JAMBI,18.0,2022,545870,279.37,7.62,79.54
SUMATERA SELATAN,18.6,2022,485069,1044.69,11.9,78.62
BENGKULU,19.8,2022,590754,297.23,14.62,79.58
LAMPUNG,15.2,2022,514039,1002.41,11.57,83.65
KEPULAUAN BANGKA BELITUNG,18.5,2022,801437,66.78,4.45,91.63
KEPULAUAN RIAU,15.4,2022,684070,151.68,6.24,87.74
DKI JAKARTA,14.8,2022,738955,502.04,4.69,92.79
JAWA BARAT,20.2,2022,452580,4070.98,8.06,74.02
JAWA TENGAH,20.8,2022,438833,3831.44,10.93,84.37
DI YOGYAKARTA,16.4,2022,521673,454.76,11.34,96.21
JAWA TIMUR,19.2,2022,460909,4181.29,10.38,81.13
BANTEN,20.0,2022,570368,814.02,6.16,85.12
BALI,8.0,2022,485022,205.69,4.57,95.94
NUSA TENGGARA BARAT,32.7,2022,459826,731.94,13.68,83.12
NUSA TENGGARA TIMUR,0.0,2022,460823,1131.62,20.05,73.7
KALIMANTAN BARAT,27.8,2022,520660,350.25,6.73,77.41
KALIMANTAN TENGAH,26.9,2022,548816,145.1,5.28,74.33
KALIMANTAN SELATAN,24.6,2022,553073,195.7,4.49,82.55
KALIMANTAN TIMUR,23.9,2022,728208,236.25,6.31,90.33
KALIMANTAN UTARA,22.1,2022,772914,49.46,6.77,82.22
SULAWESI UTARA,20.5,2022,427016,185.14,7.28,84.05
SULAWESI TENGAH,28.2,2022,530251,388.36,12.33,75.01
SULAWESI SELATAN,27.2,2022,399755,777.44,8.63,92.24
SULAWESI TENGGARA,27.7,2022,404137,309.79,11.17,87.07
GORONTALO,23.8,2022,411906,185.44,15.42,79.82
SULAWESI BARAT,35.0,2022,405187,165.72,11.75,78.88
MALUKU,26.1,2022,631326,290.57,15.97,76.47
MALUKU UTARA,26.1,2022,514383,79.88,6.23,79.39
PAPUA BARAT,30.0,2022,665604,218.78,21.33,73.52
PAPUA,34.6,2022,629175,922.12,26.56,40.34
